sub_category_id,sub_category
1,Piles
2,Fruits secs
3,Nettoyant multi-usages
4,Œufs
5,Stylos & Crayons
6,Poissons
7,Crèmes Desserts & Mousses
8,Rangement et Organisation 
9,Fromages
10,Orientales
11,Chocolat
12,Lben & Raïb
13,Entretien chaussures
14,jardin
15,Yaourts nature & aromatisés
16,Capsules
17,COLLAGE ET CISEAU
18,Détachants
19,Ardoises
20,Chips & Snacks salés
21,Diététiques
22,Chocolats
23,Entretien sanitaire
24,Café en Grains
25,Biscuits
26,Vinaigres & Sauces Salades
27,Frais
28,Légumes
29,SAC A DOS ET TROUSSE
30,Couscous
31,Huiles
32,thé & infusions
33,Riz
34,Hygiène Dentaire
35,Desserts lactés & mousses
36,"Sucres, farines & semoules"
37,Déodorants & Parfums
38,Parfums & déodorants
39,Yaourts
40,Entretien
41,Equipement et Déco Auto
42,Savon Mains et Solides
43,Equipement de la Cuisine
44,concassés.
45,"Meubles, cuir & vitres"
46,Produits vitres
47,Fruits sec
48,Eau minérale
49,desserts à préparer
50,Produits désinfectants
51,PAPIER
52,Hygiène Féminine
53,Produits pour pâtisserie
54,Bonbons & Confiseries
55,Génoises & moelleux
56,Pates
57,Sodas
58,Soins Cheveux
59,Cuisson
60,Confiserie orientale
61,Nettoyant sol
62,Fruit
63,Lait
64,Sels & Bases Culinaires
65,Fruits secs
66,Céréales et Légmes Secs
67,Electricité
68,Lessives
69,Vaisselle & Accessoires de table
70,Biscuits secs
71,Sels
72,COLORIAGE
73,Snacking
74,Barres & tabelettes de chocolat
75,Barres Chocolatées
76,Pâtes
77,Sauce pour Pâtes
78,Désodorisants & insecticides
79,Hygiène dentaire
80,Bonbons & confiseries
81,Confort maison
82,Legumes
83,Café Moulus
84,produits secs
85,Bonbons
86,Produits secs
87,Bonbons & confiseries
88,Cahiers & Registres
89,Sacs a dos
90,Vinaigrettes & Sauces Salades
91,Smen & margarine
92,Poissons
93,Ustensile de Cuisine
94,Sauces Froides
95,Boîtes de conservation
96,Adhésifs & colles
97,divers
98,Huiles dolives
99,Ustensils de cuisine
100,missing
101,Tablettes de Chocolat
102,Surgelés
103,Ustensiles & accessoires
104,Marqueurs
105,Porte documents
106,Compotes
107,Entretien cuisine
108,Céréales et Barres
109,Snacks
110,Papiers
111,Barres Chocolatées & Confiseries
112,Emballage des Aliments
113,Soins du corps
114,Chocolat
115,Herbes & Épices
116,Bain & douche
117,Accessoires ménagers
118,Confiserie orientale
119,Shampoings
120,Conserves
121,Jus
122,Creme dessert
123,"Café,Thé & boissons chaudes"
124,Fruits
125,Produits dégraissants
126,Snaking
127,Chips & popcorns
128,Boite de Conservation
129,Cotons & Démaquillants
130,Eaux
131,Fromage
132,concassés
133,Chips
134,Herbes
