user_id,gender,age
1,Male,31.0
2,Female,58.0
3,Female,62.0
4,Female,42.0
5,Male,50.0
6,Female,21.0
7,Male,52.0
8,Male,55.0
9,Male,31.0
10,Male,73.0
11,nan,29.0
12,Male,29.0
13,Female,27.0
14,Female,25.0
15,Female,79.0
16,Male,61.0
17,Male,50.0
18,Male,44.0
19,Male,47.0
20,Male,80.0
21,Male,24.0
22,Female,78.0
23,Male,49.0
24,Male,
25,Male,49.0
26,Male,53.0
27,Male,22.0
28,nan,38.0
29,Male,40.0
30,Female,80.0
31,Male,74.0
32,Male,44.0
33,Female,20.0
34,Male,20.0
35,Female,54.0
36,Male,46.0
37,Male,23.0
38,nan,48.0
39,Female,39.0
40,Male,51.0
41,Male,20.0
42,Male,
43,Male,45.0
44,Male,57.0
45,Male,18.0
46,Male,58.0
47,Male,43.0
48,Male,26.0
49,Male,65.0
50,Male,57.0
51,Female,26.0
52,Male,66.0
53,Male,48.0
54,Male,51.0
55,Male,57.0
56,Male,46.0
57,Male,43.0
58,Male,70.0
59,Male,65.0
60,Male,31.0
61,Male,28.0
62,Female,74.0
63,Male,43.0
64,Male,79.0
65,Male,80.0
66,Male,30.0
67,Male,22.0
68,Female,73.0
69,Male,62.0
70,Male,71.0
71,Male,37.0
72,Male,68.0
73,Male,58.0
74,Male,48.0
75,Male,
76,Female,66.0
77,Male,59.0
78,nan,39.0
79,Male,74.0
80,Male,28.0
81,Male,45.0
82,Male,45.0
83,Female,44.0
84,Female,79.0
85,Male,63.0
86,Female,53.0
87,Male,38.0
88,Male,38.0
89,Male,25.0
90,nan,22.0
91,Male,64.0
92,Male,50.0
93,Female,67.0
94,Female,
95,nan,19.0
96,Male,28.0
97,Female,32.0
98,Female,57.0
99,nan,19.0
100,Male,60.0
101,Male,69.0
102,Male,18.0
103,Female,46.0
104,Male,52.0
105,Male,77.0
106,Male,46.0
107,Female,79.0
108,Male,22.0
109,Female,64.0
110,Male,36.0
111,Female,20.0
112,Male,46.0
113,Male,51.0
114,Female,66.0
115,Male,24.0
116,Female,45.0
117,Male,66.0
118,Male,31.0
119,Male,32.0
120,Male,60.0
121,Female,73.0
122,Male,60.0
123,Male,
124,Male,75.0
125,Male,40.0
126,Female,69.0
127,nan,48.0
128,Female,
129,Female,68.0
130,Male,69.0
131,Male,42.0
132,Female,63.0
133,Male,61.0
134,nan,54.0
135,nan,32.0
136,nan,75.0
137,Male,38.0
138,Female,29.0
139,Male,
140,nan,58.0
141,Male,37.0
142,Male,18.0
143,Male,19.0
144,Male,25.0
145,Male,52.0
146,Male,48.0
147,Male,63.0
148,Male,72.0
149,Female,51.0
150,Male,59.0
151,Male,29.0
152,Male,28.0
153,Male,65.0
154,Male,56.0
155,Female,30.0
156,Male,52.0
157,Male,20.0
158,Male,34.0
159,Male,51.0
160,Female,49.0
161,Male,68.0
162,Male,21.0
163,Male,52.0
164,Male,28.0
165,Male,53.0
166,Male,61.0
167,Male,23.0
168,Male,64.0
169,Male,71.0
170,Female,57.0
171,Male,61.0
172,Male,43.0
173,Female,78.0
174,Female,18.0
175,Male,70.0
176,Male,23.0
177,Male,29.0
178,Male,38.0
179,Male,54.0
180,nan,38.0
181,Male,60.0
182,nan,19.0
183,Male,20.0
184,Female,45.0
185,nan,59.0
186,Female,58.0
187,nan,76.0
188,Male,21.0
189,Male,77.0
190,Male,19.0
191,nan,46.0
192,Male,74.0
193,Male,36.0
194,Male,44.0
195,Male,44.0
196,Male,54.0
197,Male,34.0
198,Male,75.0
199,Male,75.0
200,Male,60.0
201,Male,52.0
202,nan,53.0
203,Male,79.0
204,Male,31.0
205,Male,59.0
206,Male,62.0
207,Female,29.0
208,Male,52.0
209,Female,64.0
210,Male,23.0
211,Male,76.0
212,nan,71.0
213,nan,66.0
214,Male,48.0
215,Female,66.0
216,Female,60.0
217,Male,48.0
218,nan,77.0
219,Male,56.0
220,nan,57.0
221,Male,28.0
222,Male,40.0
223,Male,64.0
224,Female,58.0
225,Male,55.0
226,Female,28.0
227,Male,33.0
228,Male,62.0
229,Female,62.0
230,Male,35.0
231,Female,30.0
232,Male,21.0
233,Male,34.0
234,Male,49.0
235,Male,51.0
236,Male,73.0
237,Male,27.0
238,nan,57.0
239,Male,24.0
240,Male,18.0
241,Male,38.0
242,Male,69.0
243,Male,52.0
244,Male,
245,Male,23.0
246,Female,68.0
247,Male,70.0
248,Male,43.0
249,Male,44.0
250,Male,74.0
251,Female,68.0
252,Female,71.0
253,Female,27.0
254,Male,38.0
255,Male,40.0
256,Female,39.0
257,Male,80.0
258,Male,34.0
259,Male,43.0
260,Male,50.0
261,Male,68.0
262,Female,60.0
263,Female,36.0
264,Male,47.0
265,Male,65.0
266,Male,53.0
267,nan,
268,Male,73.0
269,Male,57.0
270,Male,71.0
271,Female,80.0
272,Male,30.0
273,Female,58.0
